id_temps,id_journal,id_pays,nb_auteurs,quartile,nb_citations,nb_publications
0,1,15,1,Q3,43,1
0,1,13,1,Q2,79,1
9,1,19,2,Q1,25,1
6,1,17,4,Q4,32,1
9,1,12,3,Q2,76,1
7,1,9,4,Q3,75,1
7,1,16,2,Q3,65,1
2,1,1,4,Q4,89,1
9,1,0,4,Q1,8,1
9,1,5,1,Q2,65,1
7,1,8,9,Q2,34,1
2,1,8,7,Q2,63,1
6,1,15,3,Q2,20,1
7,1,5,3,Q3,64,1
7,1,7,5,Q3,60,1
9,1,3,4,Q1,20,1
2,1,19,3,Q3,22,1
2,1,8,6,Q3,76,1
0,1,5,3,Q1,99,1
10,1,11,6,Q4,74,1
2,1,19,6,Q2,3,1
8,1,0,4,Q3,90,1
7,1,13,11,Q3,95,1
10,1,3,5,Q2,34,1
10,1,1,5,Q3,1,1
2,1,2,2,Q2,48,1
6,1,3,6,Q1,29,1
3,1,18,1,Q1,2,1
6,1,17,4,Q1,14,1
5,0,5,1,Q1,40,1
7,0,7,1,Q3,64,1
7,0,19,1,Q2,4,1
7,0,3,1,Q2,19,1
7,0,17,1,Q1,94,1
7,0,6,1,Q2,90,1
7,0,18,1,Q3,89,1
7,0,4,1,Q3,73,1
7,0,6,1,Q1,70,1
7,0,8,1,Q1,87,1
7,0,8,1,Q2,30,1
7,0,9,1,Q2,64,1
7,0,12,1,Q3,24,1
7,0,1,1,Q1,59,1
7,0,8,1,Q1,85,1
1,0,4,1,Q1,28,1
7,0,1,1,Q4,99,1
7,0,17,1,Q1,42,1
7,0,17,1,Q4,4,1
7,0,8,1,Q3,93,1
7,0,15,1,Q2,11,1
10,0,8,1,Q3,23,1
7,0,12,1,Q3,59,1
7,0,1,1,Q2,88,1
7,0,3,1,Q2,0,1
10,0,14,1,Q2,46,1
10,0,10,1,Q2,38,1
7,0,15,1,Q2,56,1
10,0,4,1,Q2,28,1
7,0,14,1,Q3,56,1
7,0,3,1,Q1,83,1
7,0,6,1,Q4,49,1
10,0,10,1,Q4,47,1
7,0,0,1,Q3,30,1
7,0,8,1,Q2,75,1
10,0,3,1,Q2,82,1
8,0,19,1,Q2,63,1
7,0,15,1,Q3,86,1
7,0,18,1,Q1,54,1
7,0,4,1,Q3,40,1
7,0,10,1,Q3,55,1
7,0,11,1,Q1,29,1
7,0,3,1,Q3,21,1
7,0,6,1,Q3,0,1
10,0,9,1,Q2,13,1
1,0,10,1,Q1,16,1
7,0,14,1,Q2,30,1
10,0,2,1,Q2,41,1
7,0,8,1,Q2,87,1
10,0,17,1,Q3,56,1
7,0,15,1,Q2,2,1
7,0,5,1,Q1,51,1
7,0,10,1,Q1,93,1
7,0,4,1,Q4,7,1
10,0,4,1,Q1,54,1
10,0,15,1,Q3,1,1
1,2,6,1,Q2,10,1
1,2,17,1,Q2,33,1
10,2,18,1,Q2,99,1
1,2,12,1,Q1,64,1
7,2,1,1,Q2,90,1
7,2,15,1,Q3,11,1
1,2,13,1,Q3,52,1
7,2,3,1,Q4,46,1
1,2,16,1,Q2,81,1
1,2,18,1,Q2,53,1
1,2,17,1,Q3,80,1
1,2,8,1,Q2,1,1
1,2,2,1,Q3,42,1
1,2,11,1,Q3,14,1
1,2,9,1,Q3,46,1
1,2,1,1,Q4,62,1
1,2,0,1,Q3,22,1
7,2,11,1,Q3,74,1
1,2,19,1,Q1,65,1
1,2,4,1,Q2,43,1
7,2,7,1,Q2,75,1
1,2,5,1,Q1,71,1
1,2,1,1,Q3,60,1
7,2,9,1,Q4,52,1
1,2,11,1,Q3,62,1
1,2,13,1,Q3,5,1
1,2,13,1,Q2,47,1
1,2,0,1,Q2,7,1
1,2,0,1,Q2,19,1
7,2,5,1,Q2,34,1
7,2,11,1,Q3,96,1
1,2,17,1,Q2,31,1
1,2,6,1,Q3,55,1
1,2,3,1,Q3,28,1
1,2,17,1,Q1,17,1
1,2,16,1,Q3,62,1
1,2,15,1,Q2,83,1
1,2,4,1,Q3,1,1
1,2,10,1,Q3,87,1
1,2,12,1,Q2,66,1
7,2,0,1,Q2,97,1
1,2,19,1,Q4,19,1
7,2,10,1,Q1,50,1
7,2,19,1,Q1,52,1
7,2,4,1,Q1,22,1
7,2,6,1,Q2,49,1
7,2,16,1,Q1,63,1
1,2,3,1,Q1,5,1
7,2,1,1,Q2,6,1
7,2,4,1,Q1,31,1
1,2,1,1,Q2,55,1
1,2,0,1,Q1,70,1
1,2,16,1,Q1,0,1
1,2,15,1,Q2,36,1
1,2,2,1,Q3,54,1
1,2,3,1,Q1,5,1
1,2,11,1,Q1,0,1
1,2,17,1,Q1,38,1
1,2,17,1,Q2,69,1
7,2,8,1,Q1,2,1
1,2,5,1,Q1,92,1
1,2,15,1,Q2,48,1
1,2,16,1,Q1,81,1
1,2,4,1,Q2,79,1
7,2,0,1,Q1,35,1
7,2,6,1,Q1,95,1
7,2,14,1,Q1,33,1
7,2,14,1,Q2,67,1
7,2,18,1,Q3,60,1
1,2,2,1,Q3,80,1
7,2,17,1,Q2,62,1
1,2,1,1,Q1,75,1
1,2,8,1,Q1,90,1
1,2,12,1,Q2,76,1
7,2,10,1,Q2,15,1
1,2,17,1,Q2,51,1
4,2,11,1,Q3,37,1
1,2,7,1,Q2,96,1
7,2,1,1,Q1,29,1
7,2,0,1,Q3,75,1
7,2,11,1,Q2,13,1
7,2,5,1,Q2,38,1
1,2,19,1,Q1,6,1
7,2,15,1,Q4,61,1
7,2,7,1,Q2,16,1
7,2,3,1,Q2,71,1
1,2,6,1,Q2,53,1
7,0,14,1,Q2,81,1
10,0,0,1,Q3,92,1
7,0,16,1,Q2,65,1
7,0,11,1,Q3,67,1
7,0,6,1,Q2,22,1
1,2,18,1,Q2,46,1
7,2,0,1,Q2,34,1
1,2,15,1,Q1,74,1
1,2,2,1,Q1,77,1
1,2,19,1,Q2,19,1
1,2,10,1,Q1,44,1
1,2,10,1,Q2,14,1
7,2,7,1,Q2,98,1
7,2,4,1,Q3,78,1
7,2,14,1,Q2,1,1
1,2,4,1,Q3,24,1
7,2,2,1,Q2,68,1
7,2,18,1,Q3,3,1
7,2,0,1,Q4,84,1
7,2,7,1,Q1,78,1
1,2,17,1,Q3,15,1
7,2,3,1,Q2,91,1
7,2,8,1,Q2,74,1
7,2,12,1,Q2,1,1
1,2,19,1,Q2,88,1
1,2,14,1,Q3,73,1
7,2,5,1,Q2,56,1
1,2,18,1,Q2,58,1
7,2,2,1,Q2,44,1
7,2,12,1,Q2,84,1
1,2,14,1,Q2,42,1
7,2,3,1,Q1,16,1
1,2,13,1,Q2,50,1
1,2,16,1,Q2,48,1
7,0,18,1,Q1,26,1
7,0,3,1,Q1,85,1
